"metro,location_tier,sqft,bedrooms,bathrooms,house_age,garage_spaces,lot_size,price"
"Austin,2,1709,3,1,48,2,5467,591500"
"Austin,2,1079,2,1,20,2,3435,395900"
"Austin,2,2039,2,1,23,1,3222,520300"
"Seattle,2,1803,3,2,14,2,2449,864600"
"Boston,1,2257,4,2,12,3,8029,1173400"
"Austin,2,2030,3,2,29,2,6420,768800"
"Seattle,2,2034,3,3,9,3,3437,860500"
"Indianapolis,3,960,2,1,71,1,2980,152600"
"New York,1,2220,3,2,59,3,4712,1614500"
"Boston,1,1685,3,2,17,2,2290,1034000"
"Boston,1,1792,4,2,70,2,3298,903200"
"Denver,2,2581,4,2,29,2,8559,860000"
"Austin,2,1432,2,1,42,2,3285,415200"
"Chicago,2,2778,4,3,55,1,7572,696000"
"Indianapolis,3,2839,5,3,61,1,4492,318500"
"Boston,1,2389,3,2,0,1,3487,1034800"
"Chicago,2,1263,2,1,22,2,2362,469900"
"San Francisco,1,500,1,1,26,1,1262,444000"
"Boston,1,2601,4,2,46,2,9290,879200"
"Austin,2,1972,3,2,69,1,6582,697600"
"San Francisco,1,1416,2,2,35,1,2334,1039700"
"Denver,2,2663,5,3,37,0,3729,873200"
"Chicago,2,1340,1,1,7,1,2454,341700"
"Phoenix,3,1624,3,2,42,2,5825,344700"
"Austin,2,2241,5,3,38,1,5926,890600"
"Denver,2,1176,2,1,50,0,4068,315300"
"Seattle,2,1829,2,1,67,1,4088,681900"
"San Francisco,1,2608,3,2,45,1,7441,2024600"
"San Francisco,1,2037,3,2,4,1,5837,1517100"
"Chicago,2,2711,4,3,65,1,8011,701700"
"Indianapolis,3,2637,4,2,38,2,6636,386400"
"San Francisco,1,1905,2,1,38,2,3562,1543300"
"Denver,2,500,1,1,69,3,1200,231600"
"Phoenix,3,1181,1,1,47,0,4641,324300"
"Phoenix,3,2396,4,2,63,1,4701,471000"
"Denver,2,892,3,1,70,0,2881,276800"
"Denver,2,1688,2,1,39,2,6491,578300"
"Chicago,2,2120,3,2,78,0,5905,490500"
"Columbus,3,2855,4,2,13,1,7338,385000"
"New York,1,1526,3,2,69,1,2348,972700"
"Indianapolis,3,1482,2,1,67,1,4904,234000"
"San Francisco,1,1866,2,2,7,1,7002,1269700"
"Phoenix,3,2128,3,1,12,2,8397,416400"
"San Francisco,1,1800,2,1,2,2,3176,1357800"
"New York,1,2582,4,2,22,1,9750,1829000"
"San Francisco,1,1381,4,2,79,1,3089,1345600"
"Austin,2,1978,3,2,9,1,5803,648200"
"Seattle,2,2189,3,2,2,0,3998,943800"
"New York,1,1640,2,2,36,0,3109,1089300"
"Austin,2,2446,3,2,28,1,7174,792000"
"Seattle,2,1997,4,3,50,1,5107,836100"
"Phoenix,3,2413,4,2,48,0,9411,455300"
"Columbus,3,2026,3,1,66,2,3931,404200"
"Chicago,2,2145,4,3,33,2,7847,674000"
"New York,1,1489,0,1,36,0,3707,936400"
"Boston,1,1490,3,2,1,1,2349,908800"
"Columbus,3,2696,4,2,77,3,5040,411500"
"San Francisco,1,2313,3,1,17,1,7670,1820700"
"Seattle,2,1235,1,1,47,2,4340,525200"
"Indianapolis,3,2018,3,2,70,1,2645,255600"
"Indianapolis,3,500,1,1,48,3,1174,98600"
"Seattle,2,1527,2,2,50,0,3945,501400"
"Chicago,2,2525,4,2,14,1,7378,723500"
"Austin,2,1819,2,1,56,3,5497,590500"
"Phoenix,3,1977,4,3,15,2,6970,517400"
"San Francisco,1,500,1,1,55,1,983,390200"
"New York,1,1645,2,1,46,2,2490,932800"
"Denver,2,2120,3,2,39,2,3651,716500"
"New York,1,2202,4,2,57,1,8419,1402300"
"Chicago,2,2526,3,2,57,1,6898,691700"
"Seattle,2,1763,2,1,16,1,3197,752800"
"Columbus,3,1792,3,2,30,3,6094,415200"
"Phoenix,3,1034,3,2,38,1,2940,281300"
"Austin,2,1767,2,1,12,1,3938,652000"
"Phoenix,3,1080,2,1,28,0,1351,263800"
"Boston,1,699,1,1,3,0,2371,425100"
"Austin,2,1195,1,1,35,1,3835,345000"
"New York,1,2881,5,3,16,1,5572,2002400"
"Columbus,3,1724,2,1,17,0,3351,361000"
"Phoenix,3,2043,3,2,65,0,4005,270800"
"Columbus,3,1566,1,1,11,0,4819,296800"
"Columbus,3,736,1,2,9,0,1489,147600"
"Indianapolis,3,2508,4,2,25,1,5189,370000"
"New York,1,500,1,1,1,2,1127,514200"
"Indianapolis,3,1539,3,2,69,0,6071,244700"
"Denver,2,1865,3,2,78,1,4641,550900"
"Austin,2,2050,3,1,64,1,4626,739100"
"Denver,2,1428,2,1,63,2,3593,495000"
"Seattle,2,705,1,1,8,2,2266,399800"
"Boston,1,1379,1,1,44,3,5067,778400"
"Boston,1,1413,2,1,7,1,5616,727200"
"San Francisco,1,1397,2,2,24,0,3578,1074500"
"Austin,2,2531,5,3,39,0,6298,722400"
"Columbus,3,1111,2,2,54,0,2361,221600"
"Chicago,2,2096,3,2,22,3,7088,584300"
"Austin,2,2003,2,1,20,1,6080,487100"
"Austin,2,2524,4,3,65,2,5597,864900"
"Austin,2,1813,3,3,17,3,4808,656400"
"New York,1,2414,4,2,38,2,4288,1526200"
"Phoenix,3,1788,3,2,22,1,5620,388400"
"New York,1,2182,3,2,68,2,4159,1321100"
"Chicago,2,923,2,1,42,1,2011,366700"
"Phoenix,3,500,1,1,8,0,695,200300"
"Denver,2,2145,4,2,11,1,3895,759300"
"Columbus,3,2180,3,2,77,3,3806,337000"
"Boston,1,2209,4,3,75,2,7199,1161900"
"Columbus,3,1559,2,1,61,1,4902,253400"
"Chicago,2,2868,4,3,6,2,7763,873200"
"Phoenix,3,1601,2,1,58,1,3656,325200"
"Chicago,2,2174,4,2,52,2,8023,597700"
"Columbus,3,2287,4,2,75,1,8406,396000"
"Indianapolis,3,3017,5,3,38,1,8713,419500"
"Austin,2,1694,4,2,37,1,5154,613200"
"Phoenix,3,1475,3,2,50,2,5059,290100"
"Phoenix,3,926,3,2,11,3,2985,257900"
"Austin,2,2909,5,3,59,1,5323,639000"
"Indianapolis,3,2174,4,3,39,1,5673,354200"
"Seattle,2,2194,4,2,15,0,3566,1002300"
"Denver,2,3926,6,3,65,2,13609,1310600"
"San Francisco,1,2111,3,2,21,1,6396,1454300"
"New York,1,1053,2,1,68,1,4150,740600"
"Columbus,3,1773,3,2,21,0,2805,307900"
"Seattle,2,1266,2,1,39,0,3328,586000"
"Seattle,2,1643,3,2,34,3,5302,691000"
"Boston,1,1638,3,2,58,1,5944,752200"
"Austin,2,1518,1,1,14,1,5449,451800"
"Phoenix,3,994,3,3,19,1,1755,253200"
"Columbus,3,2935,4,2,15,1,11595,503600"
"San Francisco,1,2094,3,2,18,0,8267,1711100"
"Denver,2,1753,2,1,36,0,6860,439300"
"Austin,2,2392,3,2,46,2,6980,742700"
"Denver,2,2206,3,2,69,1,7786,665200"
"Austin,2,2079,3,2,33,1,2937,805300"
"Seattle,2,2345,3,2,32,1,4491,855700"
"Austin,2,1987,3,2,12,1,2896,735900"
"Denver,2,2336,5,2,7,1,6110,723700"
"Austin,2,2390,4,3,60,2,9324,768000"
"Austin,2,2006,4,2,50,1,6053,606200"
"Phoenix,3,1757,2,1,42,2,4378,312100"
"Phoenix,3,2895,5,4,35,1,9901,571500"
"Seattle,2,1589,3,3,41,1,4355,793400"
"Phoenix,3,2154,3,1,67,0,5345,349200"
"Columbus,3,2169,3,2,15,2,6425,348400"
"New York,1,1504,3,2,39,1,3960,1072300"
"Denver,2,1375,3,2,19,2,4120,509200"
"Boston,1,1670,3,2,8,0,5757,861200"
"Chicago,2,1580,2,2,55,2,3942,437400"
"New York,1,952,1,1,56,0,2249,547800"
"Chicago,2,1477,1,2,68,1,4083,330700"
"Boston,1,2073,3,2,1,2,7739,1203700"
"Austin,2,2723,4,2,14,0,6493,891700"
"Indianapolis,3,2260,3,2,45,1,8077,358900"
"Seattle,2,500,1,1,64,1,1464,267100"
"Columbus,3,2317,4,2,75,2,2861,374300"
"Indianapolis,3,1537,3,2,63,2,3894,195100"
"Columbus,3,2195,3,2,72,0,3928,308600"
"New York,1,1891,3,2,65,0,3065,1326900"
"Phoenix,3,1775,3,2,25,1,3295,405800"
"San Francisco,1,1834,4,2,46,1,5859,1480100"
"Seattle,2,1885,3,2,50,1,5573,627300"
"Columbus,3,2774,5,3,28,1,7499,434000"
"Chicago,2,1887,4,3,70,1,4881,496500"
"Denver,2,2606,4,3,61,1,5967,637800"
"Seattle,2,2511,5,4,41,0,9246,1174600"
"Phoenix,3,2334,4,3,38,1,8895,490600"
"Chicago,2,739,2,2,63,1,2469,174400"
"Austin,2,2626,4,3,17,1,5270,833700"
"Columbus,3,1602,4,2,17,2,6022,317100"
"New York,1,2365,3,2,32,1,8262,1555900"
"New York,1,1268,3,3,10,1,1962,1143200"
"Chicago,2,1130,2,1,36,2,2437,360400"
"Indianapolis,3,3185,6,4,34,1,6744,391700"
"Boston,1,1278,2,1,40,1,4146,520900"
"Boston,1,2645,5,3,36,2,7054,1226000"
"New York,1,1977,4,2,71,2,3850,1287400"
"Columbus,3,1627,2,1,21,3,3004,333100"
"New York,1,1871,3,2,32,2,4642,1552900"
"Austin,2,1054,1,1,59,2,3230,443300"
"Indianapolis,3,1891,3,1,22,1,4963,279600"
"San Francisco,1,1196,1,1,52,1,2309,1013200"
"Denver,2,1643,2,1,76,0,4824,478500"
"Austin,2,2501,6,4,30,1,9996,791800"
"Phoenix,3,2065,4,3,19,3,3499,360400"
"Seattle,2,937,1,1,15,0,2511,459700"
"Seattle,2,2453,4,3,0,2,5524,892000"
"New York,1,1895,3,2,22,1,3433,1159700"
"Phoenix,3,1548,2,1,67,1,5652,273700"
"Phoenix,3,2385,4,2,20,2,9258,537500"
"New York,1,1791,3,2,76,1,3905,1299000"
"Seattle,2,1142,1,1,76,1,2481,432900"
"Columbus,3,3101,4,3,54,1,4518,430900"
"San Francisco,1,1889,3,2,78,0,5534,1033600"
"Boston,1,1847,3,2,32,0,2354,911400"
"Denver,2,1637,2,1,76,2,4239,472100"
"Seattle,2,2667,4,3,43,2,4342,1006900"
"Boston,1,1559,2,1,6,2,4806,933100"
"Austin,2,896,2,1,66,2,3406,278500"
"New York,1,1459,2,1,76,2,2113,830500"
"Austin,2,2762,5,3,70,0,9329,855600"
"Chicago,2,2441,3,2,33,2,8606,616300"
"Denver,2,1734,3,2,8,2,2936,641100"
"San Francisco,1,2793,4,3,46,1,10567,2267300"
"Columbus,3,2386,4,2,69,1,7011,412500"
"New York,1,1727,2,1,67,2,4659,1164400"
"Phoenix,3,1792,4,2,49,3,5519,388400"
"Seattle,2,2114,2,2,62,3,4242,805100"
"Phoenix,3,1359,3,2,2,1,1727,356100"
"New York,1,1903,3,1,49,2,4639,1218400"
"New York,1,2101,4,2,8,1,6894,1493400"
"Austin,2,803,2,1,59,2,3029,327000"
"San Francisco,1,1777,3,2,3,2,4272,1517800"
"New York,1,1703,2,1,47,3,3301,1170300"
"Chicago,2,2568,4,2,75,3,4026,563100"
"Phoenix,3,701,2,2,8,1,2677,270900"
"San Francisco,1,1652,2,1,34,3,3051,1132800"
"Columbus,3,1587,4,2,3,2,5953,357600"
"Phoenix,3,2524,4,3,57,1,4327,452100"
"Columbus,3,1872,3,2,74,0,2341,300800"
"Chicago,2,3067,4,2,0,2,5606,902700"
"Chicago,2,2330,3,2,43,1,6011,600300"
"Austin,2,1633,1,1,63,1,3554,594400"
"Chicago,2,2056,3,2,2,1,7693,594600"
"Columbus,3,1670,2,1,38,0,4553,301000"
"San Francisco,1,2459,3,2,10,1,3762,1731900"
"Boston,1,1034,2,1,73,2,3051,511800"
"San Francisco,1,1365,2,1,40,0,3125,937500"
"Indianapolis,3,2196,3,2,41,2,6810,333900"
"Austin,2,2697,4,2,79,1,9173,832200"
"Chicago,2,500,1,1,63,2,1980,184300"
"Columbus,3,2793,4,3,25,1,7861,431300"
"Indianapolis,3,1809,2,1,50,2,4028,353500"
"New York,1,675,1,1,23,2,1630,471200"
"Phoenix,3,500,1,1,41,2,1164,154300"
"Columbus,3,906,1,1,64,1,2230,154000"
"San Francisco,1,1887,3,2,75,1,2423,1450000"
"Phoenix,3,1857,3,2,76,0,3514,311300"
"Seattle,2,2312,4,2,39,1,9169,1007200"
"Chicago,2,1543,2,1,71,1,5861,360800"
"Austin,2,1180,2,1,71,2,1576,463200"
"Boston,1,1631,2,2,43,0,6431,726900"
"New York,1,1922,2,1,2,1,6568,1322600"
"New York,1,2050,3,2,9,1,2476,1283400"
"San Francisco,1,1387,3,2,52,1,5212,1013700"
"Chicago,2,2486,4,3,66,2,9668,545600"
"Seattle,2,1496,2,2,72,1,4429,645800"
"New York,1,1335,3,2,19,1,4549,920200"
"Chicago,2,1547,2,1,71,1,3297,336100"
"Chicago,2,2599,6,4,66,2,7284,612600"
"Denver,2,1814,2,2,38,2,5892,611800"
"Indianapolis,3,1449,2,2,29,1,4016,243600"
"Seattle,2,2502,4,2,37,1,5136,1014900"
"Phoenix,3,3293,5,3,54,2,9937,582500"
"San Francisco,1,2036,3,2,64,2,7223,1637100"
"Chicago,2,2702,6,4,13,0,9567,713800"
"Indianapolis,3,2573,4,2,26,1,4040,374700"
"Columbus,3,1506,3,1,9,1,3685,285700"
"Denver,2,1917,3,1,74,2,2508,428300"
"Chicago,2,1066,1,1,32,0,3168,381400"
"Seattle,2,1767,3,3,20,2,3319,856200"
"Chicago,2,1493,1,1,16,2,5681,456000"
"Phoenix,3,1638,2,1,5,2,4801,397200"
"Indianapolis,3,1413,2,1,37,3,3281,290700"
"Austin,2,1713,4,2,61,1,5564,661700"
"San Francisco,1,2246,3,2,25,2,3999,1817400"
"Denver,2,1822,3,2,32,2,2653,537400"
"New York,1,688,1,1,50,2,994,475100"
"Boston,1,1415,3,2,28,1,4007,575800"
"Seattle,2,912,1,1,59,0,3364,362600"
"Chicago,2,2059,4,3,25,3,3755,642300"
"New York,1,2227,3,2,35,0,7412,1585500"
"New York,1,2067,4,3,78,3,2698,1425900"
"San Francisco,1,1388,2,1,66,1,3039,963800"
"Columbus,3,2060,3,2,45,1,6243,364300"
"Chicago,2,1594,2,1,31,3,5601,510800"
"San Francisco,1,1160,1,1,79,2,4455,635800"
"San Francisco,1,2382,3,2,37,1,7077,1890100"
"Denver,2,2432,3,1,27,1,6069,923300"
"Boston,1,2517,4,3,47,1,3448,1103000"
"Denver,2,1505,2,2,33,0,2968,336600"
"Austin,2,2667,4,2,71,1,10094,765100"
"Indianapolis,3,1579,1,1,16,1,4472,199400"
"Boston,1,2325,3,2,4,1,5021,1043800"
"Chicago,2,1568,3,1,34,1,2974,365800"
"San Francisco,1,1754,3,3,75,3,2663,1484600"
"Indianapolis,3,500,1,1,4,2,1652,164500"
"Indianapolis,3,1704,3,1,64,1,4012,243900"
"Chicago,2,1959,2,1,0,3,7488,674700"
"Austin,2,1633,4,3,44,1,4037,549400"
"New York,1,3042,6,4,36,1,10621,2072200"
"Phoenix,3,1144,2,2,12,1,1790,364600"
"Chicago,2,1534,4,2,59,2,2489,447300"
"New York,1,1312,2,1,14,1,2578,1009100"
"Austin,2,1534,1,1,34,1,2662,463600"
"Austin,2,2570,3,2,44,3,10113,829900"
"Phoenix,3,2861,4,3,41,2,9907,514400"
"Chicago,2,1444,4,2,2,2,3142,572100"
"Chicago,2,1430,2,2,35,2,3797,340700"
"Chicago,2,1148,1,1,52,2,3092,350900"
"Boston,1,2749,4,2,42,0,7973,1335400"
"Seattle,2,2629,5,3,58,2,3918,846900"
"San Francisco,1,1831,4,2,62,1,3986,1578700"
"Phoenix,3,993,1,1,14,0,1431,229000"
"Austin,2,1051,1,1,64,3,3966,314100"
"Austin,2,2011,2,1,71,0,4685,620300"
"Boston,1,2257,5,3,67,0,7303,939000"
"New York,1,557,1,1,68,1,2105,384900"
"Denver,2,1691,3,2,16,2,3494,548500"
"New York,1,2952,6,4,52,3,4269,1731500"
"San Francisco,1,1759,4,3,36,0,3767,1203800"
"Phoenix,3,2868,4,2,78,1,8830,570900"
"Seattle,2,2322,4,3,66,2,6036,978000"
"Seattle,2,1195,1,1,12,2,1685,576500"
"Austin,2,1710,2,1,75,1,2388,482800"
"Phoenix,3,1816,2,2,55,1,5736,363700"
"Seattle,2,1281,1,1,43,1,4179,496900"
"Phoenix,3,1270,1,1,35,0,1913,233500"
"Indianapolis,3,2879,5,3,39,2,9861,528800"
"Chicago,2,1265,1,1,61,1,2742,350000"
"Austin,2,2601,5,3,61,2,3618,777100"
"Phoenix,3,1616,2,1,44,2,3450,270000"
"Austin,2,1883,4,2,79,2,6111,489500"
"Seattle,2,2265,3,2,18,2,6877,905600"
"Austin,2,1511,1,1,34,0,3850,508900"
"Boston,1,2269,4,3,47,1,4499,1073200"
"San Francisco,1,570,2,1,13,1,1351,608100"
"Seattle,2,2186,3,2,39,2,4959,941000"
"New York,1,500,1,1,66,2,1146,326600"
"Seattle,2,1753,2,1,54,1,4507,821400"
"Denver,2,2455,4,2,56,2,6076,720200"
"Indianapolis,3,2304,4,2,12,1,3426,366700"
"San Francisco,1,1056,1,1,11,0,2125,823900"
"Chicago,2,1140,1,1,35,1,1780,330200"
"Austin,2,1452,2,1,25,3,4190,680200"
"San Francisco,1,2021,4,3,0,1,4818,1485400"
"Boston,1,579,1,1,44,1,1784,286400"
"New York,1,1891,3,2,60,2,2733,1091700"
"New York,1,2102,3,2,58,0,4552,1273200"
"Boston,1,1716,2,1,8,0,2926,780000"
"Seattle,2,2241,4,3,62,0,3267,765300"
"Austin,2,2045,2,1,30,0,6883,674000"
"San Francisco,1,1548,3,1,12,1,2425,1499200"
"New York,1,641,1,1,37,1,1083,486400"
"San Francisco,1,1987,3,2,17,2,4425,1580700"
"Denver,2,1281,1,1,53,2,2587,413200"
"Seattle,2,1524,2,1,59,3,5754,697000"
"Denver,2,2211,3,2,58,1,8774,787300"
"New York,1,2821,4,2,9,1,6722,1932100"
"San Francisco,1,1875,3,2,27,0,3306,1456200"
"Indianapolis,3,2260,4,2,39,1,5864,296300"
"San Francisco,1,961,3,2,78,2,2487,839900"
"New York,1,2060,3,2,43,1,5160,1219200"
"New York,1,1861,2,1,52,2,2339,1055300"
"Indianapolis,3,2699,5,4,27,2,4209,424500"
"Denver,2,1549,2,1,23,0,2470,580300"
"Denver,2,1743,4,2,63,3,3808,601400"
"Indianapolis,3,2588,5,3,66,0,7314,358400"
"San Francisco,1,1840,2,1,4,3,6731,1357500"
"Indianapolis,3,1179,2,1,43,2,2152,227500"
"New York,1,3559,5,3,62,0,11956,2232500"
"Chicago,2,1199,2,1,12,1,2198,357100"
"Austin,2,1858,3,1,51,1,2399,626600"
"Seattle,2,2125,4,2,37,2,6417,861600"
"Indianapolis,3,20740,4,2,40,1,3735,279300"
"New York,1,1777,3,2,47,2,6708,1127800"
"Indianapolis,3,1780,4,2,69,1,6788,243900"
"Seattle,2,1747,2,1,6,3,2610,674700"
"Chicago,2,1175,1,1,16,1,2051,298700"
"Indianapolis,3,3298,4,3,27,2,5901,522800"
"San Francisco,1,1757,4,2,64,2,6592,1493500"
"Indianapolis,3,2288,3,2,47,1,3245,283200"
"Denver,2,1682,3,2,15,0,5556,638200"
"Chicago,2,1669,2,1,1,1,3347,502400"
"New York,1,1604,2,1,79,2,4541,965000"
"Denver,2,893,1,1,11,2,1515,302800"
"Chicago,2,1796,3,2,2,1,6211,569800"
"Austin,2,1635,2,1,32,2,5033,706300"
"New York,1,2661,4,2,44,3,3351,1715400"
"Boston,1,1122,2,1,20,2,2091,677700"
"Columbus,3,1525,2,1,13,0,3821,268900"
"San Francisco,1,1316,1,1,6,0,3536,1211400"
"Chicago,2,2838,3,2,32,3,9979,745300"
"Indianapolis,3,1335,4,3,76,2,3048,151200"
"San Francisco,1,2265,5,3,11,2,8596,1730200"
"New York,1,2531,5,3,45,3,4411,1711500"
"Chicago,2,1805,2,2,15,0,6501,583900"
"San Francisco,1,1005,2,1,53,2,3751,818000"
"Denver,2,1013,1,1,4,2,2993,404900"
"Chicago,2,2459,3,2,16,2,9612,643400"
"Denver,2,1081,1,1,0,2,2540,501100"
"Seattle,2,2155,4,2,51,1,6805,1048700"
"Chicago,2,1974,4,2,57,0,2425,448900"
"Denver,2,2145,3,2,13,3,4224,582100"
"New York,1,2207,3,2,36,2,6148,1157900"
"Denver,2,1293,3,2,23,1,4723,512300"
"Columbus,3,1266,2,1,3,3,4897,287100"
"Chicago,2,2365,4,3,2,1,6675,620000"
"Austin,2,1491,3,1,75,1,5362,494700"
"Seattle,2,500,1,1,51,3,1719,238900"
"San Francisco,1,2322,4,3,53,2,7817,1984300"
"Boston,1,1226,1,1,23,2,1854,597000"
"San Francisco,1,2204,3,2,21,2,5599,1518100"
"Indianapolis,3,2805,4,3,63,1,7185,367900"
"New York,1,1911,2,1,35,1,6507,1209300"
"Phoenix,3,2547,4,2,8,2,7236,573500"
"New York,1,2000,4,2,39,1,6991,1556300"
"Boston,1,2932,4,3,41,1,11370,1563800"
"Seattle,2,1210,2,1,45,1,3331,532500"
"Seattle,2,1895,3,2,42,0,6475,774600"
"Phoenix,3,2338,2,1,68,0,6475,380700"
"Indianapolis,3,1776,3,2,19,2,5243,239000"
"Columbus,3,2649,5,4,47,2,6709,448000"
"New York,1,1619,3,2,71,1,6293,957800"
"Phoenix,3,3245,4,2,78,1,11323,675700"
"New York,1,3279,6,3,77,1,10839,2029800"
"Columbus,3,2083,3,1,58,2,4422,349500"
"Austin,2,2259,4,2,8,0,5781,745000"
"Seattle,2,2675,4,2,79,1,9673,953100"
"New York,1,1128,2,1,2,2,4311,966300"
"San Francisco,1,1047,1,1,44,1,4181,882200"
"Boston,1,2717,4,2,35,2,8848,1331700"
"Columbus,3,2078,3,1,54,2,6746,331400"
"Phoenix,3,1753,3,2,62,1,2564,366500"
"Indianapolis,3,1907,2,1,59,0,6301,276700"
"San Francisco,1,500,1,1,18,0,1085,373300"
"Denver,2,1776,3,1,60,2,6431,533000"
"Boston,1,1411,1,1,60,3,1738,721700"
"Denver,2,2497,5,4,1,2,9529,776000"
"Seattle,2,2547,4,3,50,3,6507,842300"
"Boston,1,2275,4,2,10,2,3545,1093700"
"Denver,2,2157,4,2,44,1,6218,716000"
"New York,1,927,2,1,18,1,2909,685900"
"Austin,2,2284,4,3,28,2,7728,945500"
"Chicago,2,2309,3,2,21,2,7308,783500"
"New York,1,2709,5,4,68,1,7448,1350300"
"Indianapolis,3,3277,5,3,72,1,4684,400000"
"Austin,2,800,2,1,63,1,2893,210500"
"Phoenix,3,1647,3,2,57,1,6511,373500"
"Chicago,2,1418,3,2,29,2,4791,403000"
"Chicago,2,2012,4,2,11,2,2610,541300"
"Chicago,2,1909,3,1,45,2,6330,583900"
"Columbus,3,1748,2,1,34,1,3417,241000"
"Denver,2,2568,4,2,22,2,9999,679600"
"Boston,1,1184,1,1,19,1,1631,437300"
"San Francisco,1,1223,1,1,12,1,1784,1168300"
"Denver,2,1234,1,1,66,2,2107,409800"
"San Francisco,1,1666,1,1,25,3,5513,1301200"
"Boston,1,1101,3,1,73,3,3329,457800"
"San Francisco,1,1868,2,1,53,0,6045,1524800"
"Denver,2,1792,4,3,13,1,3926,835300"
"New York,1,1389,2,1,5,2,5088,1017000"
"Denver,2,2468,4,2,33,2,6045,660800"
"Phoenix,3,1861,2,1,6,1,2932,453800"
"Phoenix,3,2591,4,2,76,0,8677,409500"
"Boston,1,1773,4,2,72,1,4756,776100"
"Denver,2,1884,4,2,52,0,5391,397600"
"Denver,2,1534,3,2,23,1,3495,507400"
"Austin,2,1895,2,1,69,2,6045,506700"
"Chicago,2,2363,3,1,51,0,3071,640400"
"New York,1,1633,2,1,28,2,4205,991900"
"Indianapolis,3,2237,4,3,70,2,5360,349500"
"San Francisco,1,1372,3,2,16,1,4514,1170900"
"Phoenix,3,2393,4,3,45,1,4653,482900"
"Denver,2,1523,2,2,55,3,2824,517200"
"Boston,1,2454,5,3,72,1,5142,1094900"
"Phoenix,3,1940,2,1,10,2,4938,388400"
"San Francisco,1,2889,4,3,23,1,5165,1986500"
"Phoenix,3,1150,2,1,67,1,3583,242900"
"Denver,2,940,1,1,39,3,2001,263400"
"New York,1,1499,2,2,60,0,3568,1159700"
"San Francisco,1,1000,1,1,61,1,2761,780400"
"Phoenix,3,1001,3,2,24,3,2258,269400"
"Boston,1,2304,5,3,26,1,7289,1180400"
"Columbus,3,1897,3,1,39,1,5762,294200"
"Phoenix,3,1588,2,2,2,3,5271,390600"
"Chicago,2,1648,2,1,63,0,4391,345000"
"Boston,1,1512,2,1,9,2,3370,818300"
"Chicago,2,2973,4,3,74,2,5242,707800"
"Indianapolis,3,1422,2,1,62,2,3446,210300"
"San Francisco,1,1041,2,1,28,1,3794,1056800"
"Seattle,2,2417,3,2,5,0,3719,904600"
"New York,1,1760,3,3,63,2,3173,1147200"
"Seattle,2,3225,5,3,35,2,9877,1066200"
"Phoenix,3,1558,2,1,15,1,4378,371900"
"Austin,2,2450,3,2,34,1,9225,827200"
"Denver,2,2603,5,3,72,1,3335,746100"
"Boston,1,1561,1,1,55,0,5713,691000"
"New York,1,1417,3,2,54,2,4579,920200"
"Boston,1,2382,4,3,41,3,8031,1518200"
"Columbus,3,2274,4,2,12,1,5140,400900"
"Denver,2,983,2,1,75,3,2025,322300"
"Seattle,2,1167,1,1,59,2,1447,407300"
"Phoenix,3,500,1,1,41,2,1702,169300"
"San Francisco,1,2287,3,1,57,3,3779,1664900"
"Boston,1,1730,2,1,29,1,3171,859700"
"New York,1,1795,3,2,59,3,3544,1320600"
"Indianapolis,3,801,1,1,77,0,2912,106100"
"Chicago,2,1186,2,1,27,1,2379,321300"
"Denver,2,1589,1,1,0,1,3801,390100"
"San Francisco,1,1463,2,1,59,0,4817,1044400"
"New York,1,1977,4,3,68,2,7312,1222700"
"Chicago,2,2279,3,2,66,1,7783,494000"
"Seattle,2,3375,5,3,78,1,9110,1515900"
"Indianapolis,3,1887,2,2,27,1,2276,314400"
"Phoenix,3,2625,2,2,73,0,4310,346600"
"Austin,2,1361,1,1,16,1,2600,500300"
"Phoenix,3,811,2,1,46,1,1913,174200"
"Indianapolis,3,1671,2,1,71,3,3700,240800"
"Austin,2,861,1,1,73,2,2273,260400"
"Chicago,2,1910,1,1,49,1,4496,440100"
"Columbus,3,1393,1,1,43,2,4504,271300"
"Boston,1,630,2,1,36,2,848,417800"
"Columbus,3,3028,5,3,69,1,12067,567500"
"San Francisco,1,1551,1,1,70,0,5522,1091000"
"Chicago,2,836,1,1,19,1,1787,229600"
"Phoenix,3,2484,4,2,10,1,5741,579600"
"Denver,2,1426,1,1,65,2,5559,483700"
"Austin,2,2609,3,2,64,1,9967,895000"
"Denver,2,1423,2,1,7,1,3274,453300"
"New York,1,1548,3,1,39,1,2116,897600"
"New York,1,2124,4,3,40,2,8424,1578700"
"Boston,1,2286,4,2,3,3,6928,1046500"
"Denver,2,2400,3,3,53,1,7537,705900"
"Austin,2,1842,3,2,77,0,3627,753000"
"Boston,1,2244,3,2,16,2,7837,1400800"
"Columbus,3,2385,4,3,62,0,6585,408700"
"Seattle,2,2030,3,2,6,0,5109,813700"
"Austin,2,1807,2,2,17,2,5919,606500"
"Seattle,2,961,1,1,45,0,2154,443400"
"New York,1,2289,4,2,73,0,5499,1677200"
"Chicago,2,1927,3,1,70,1,5832,443700"
"Austin,2,1631,1,1,74,1,4878,467000"
"San Francisco,1,2731,5,3,79,3,10704,2105100"
"Indianapolis,3,972,1,1,64,1,2698,118500"
"Phoenix,3,2969,4,2,29,1,6231,481000"
"Chicago,2,1886,2,2,10,2,3781,464600"
"Columbus,3,2106,4,3,65,2,5676,371100"
"Columbus,3,1643,2,2,14,1,2522,308900"
